Sender Id,Max of Date Created,Min of Date Created,Average of Amount,recency,frequency,monetary
4086,16/01/2024,16/01/2024,758.5,86,1,758.5
4106,23/01/2024,23/01/2024,200.0,79,1,200.0
4126,08/01/2024,12/10/2023,267.2,94,3,801.5
4136,25/12/2023,05/10/2023,2225.0,108,4,8900.0
4170,22/01/2024,22/01/2024,900.0,80,2,1800.0
4178,16/10/2023,16/10/2023,227.0,178,1,227.0
4184,07/02/2024,07/02/2024,765.0,64,1,765.0
4187,01/02/2024,15/09/2023,1900.2,70,6,11401.0
4189,03/01/2024,26/09/2023,132.7,99,3,398.0
4198,15/02/2024,16/10/2023,1960.0,56,5,9800.0
4206,16/02/2024,20/09/2023,272.7,55,3,818.0
4211,26/02/2024,24/09/2023,1669.8,45,6,10019.0
4222,02/03/2024,30/09/2023,1181.2,40,5,5906.0
4267,19/02/2024,02/09/2023,1250.0,52,7,8750.0
4271,10/12/2023,10/12/2023,1890.4,123,1,1890.4
4273,20/11/2023,20/11/2023,1513.0,143,1,1513.0
4305,30/01/2024,13/09/2023,357.1,72,7,2500.0
4375,21/11/2023,21/11/2023,800.0,142,1,800.0
4381,21/11/2023,23/09/2023,518.5,142,2,1037.0
4385,20/09/2023,20/09/2023,5304.0,204,1,5304.0
4393,15/12/2023,15/12/2023,497.0,118,1,497.0
4395,12/02/2024,29/09/2023,2557.6,59,11,28134.0
4396,20/02/2024,06/09/2023,149.2,51,11,1641.1
4424,02/01/2024,06/09/2023,1337.3,100,4,5349.0
4433,29/02/2024,04/11/2023,762.2,42,5,3811.0
4486,21/02/2024,05/02/2024,304.5,50,2,609.0
4511,17/09/2023,17/09/2023,1000.0,207,1,1000.0
4530,02/12/2023,13/10/2023,1355.3,131,3,4066.0
4538,12/02/2024,17/01/2024,4050.0,59,4,16200.0
4540,03/03/2024,08/12/2023,1951.7,39,6,11710.0
4541,11/02/2024,20/09/2023,531.7,60,6,3190.0
4542,04/02/2024,07/11/2023,2081.0,67,4,8324.0
4555,15/02/2024,11/12/2023,2350.0,56,3,7050.0
4616,28/12/2023,07/10/2023,227.5,105,2,455.0
4639,16/11/2023,04/10/2023,2741.8,147,4,10967.0
4689,25/02/2024,16/10/2023,231.3,46,4,925.0
4691,18/11/2023,29/09/2023,1335.0,145,2,2670.0
4702,01/10/2023,01/10/2023,3000.0,193,1,3000.0
4710,10/10/2023,09/10/2023,1000.0,184,2,2000.0
4716,01/03/2024,23/02/2024,6250.0,41,2,12500.0
4749,28/10/2023,28/10/2023,1000.0,166,1,1000.0
4765,01/02/2024,03/10/2023,993.3,70,3,2980.0
4766,18/02/2024,18/02/2024,3800.0,53,1,3800.0
4803,25/12/2023,23/12/2023,299.0,108,2,598.0
4814,06/01/2024,06/01/2024,4000.0,96,1,4000.0
4823,21/11/2023,21/11/2023,50.0,142,1,50.0
4839,29/02/2024,08/09/2023,1250.5,42,11,13755.0
4841,23/12/2023,20/10/2023,427.0,110,5,2135.0
4850,22/02/2024,30/09/2023,926.2,49,3,2778.7
4880,12/01/2024,18/09/2023,511.0,90,3,1533.0
