Sender ID,Max of Date Created,Recency,frequency,monetary,Average of Total Amount
17885,31/10/2023,162,7,26699.99,3814.284286
17901,05/06/2023,310,13,52501.98,4038.613846
18055,13/12/2022,484,4,16600,4150
18088,03/03/2024,38,1,5000,5000
18143,05/01/2024,96,4,22000,5500
18155,12/12/2020,1215,1,8500,8500
18251,22/12/2020,1205,3,13500,4500
18334,05/01/2021,1191,2,8000,4000
18345,31/05/2023,315,2,8040,4020
18386,02/11/2022,525,2,9320,4660
18388,27/02/2021,1138,4,25000,6250
18482,01/05/2019,1806,3,19500,6500
18529,17/01/2023,449,2,13002.99,6501.495
18542,12/08/2020,1337,7,29010,4144.285714
18644,27/10/2021,896,4,17000,4250
18662,11/03/2022,761,21,78555.98,3740.760952
18685,08/01/2020,1554,4,18000,4500
18710,17/10/2019,1637,1,7000,7000
18863,01/02/2019,1895,1,5000,5000
18907,14/01/2020,1548,3,12448,4149.333333
18931,29/05/2019,1778,2,9000,4500
18949,23/03/2021,1114,4,19000,4750
18976,31/07/2019,1715,2,20000,10000
18982,09/02/2019,1887,1,8902,8902
18997,13/02/2023,422,2,10000,5000
19003,10/07/2019,1736,1,5997,5997
19011,02/10/2020,1286,10,73203,7320.3
19025,30/04/2021,1076,8,36750,4593.75
19100,05/03/2022,767,10,40515,4051.5
19111,14/09/2019,1670,2,7300,3650
19115,24/12/2020,1203,10,43000,4300
19191,11/11/2019,1612,3,11026.25,3675.416667
19197,09/07/2020,1371,3,19695,6565
19221,12/03/2019,1856,1,5500,5500
19225,04/09/2020,1314,11,51845,4713.181818
19232,15/10/2020,1273,4,26400,6600
19286,09/03/2020,1493,7,28437,4062.428571
19291,10/01/2021,1186,6,26000,4333.333333
19307,07/07/2020,1373,9,52350,5816.666667
19334,13/08/2019,1702,2,11000,5500
19353,07/06/2019,1769,2,10000,5000
19372,17/03/2019,1851,1,6000,6000
19382,26/08/2019,1689,3,29890,9963.333333
19421,24/11/2023,138,17,110108,6476.941176
19423,05/11/2020,1252,5,25850,5170
19424,29/12/2020,1198,3,12100,4033.333333
19434,11/06/2019,1765,1,4565,4565
19454,05/09/2019,1679,2,20000,10000
19455,22/04/2021,1084,3,17860,5953.333333
19479,04/04/2019,1833,2,10000,5000
19527,20/06/2020,1390,2,9121,4560.5
19595,27/02/2024,43,8,34220,4277.5
19599,16/03/2019,1852,1,5000,5000
19627,10/11/2019,1613,2,13395,6697.5
19654,23/02/2020,1508,3,14500,4833.333333
19681,13/07/2020,1367,4,25056,6264
19683,01/05/2019,1806,2,9600,4800
19688,02/12/2021,860,11,39465,3587.727273
19699,30/11/2021,862,2,14000,7000
19703,21/01/2019,1906,1,4010,4010
19712,22/04/2019,1815,4,22000,5500
19736,16/02/2019,1880,1,4000,4000
19753,06/11/2020,1251,6,22612,3768.666667
19770,22/12/2020,1205,10,94870,9487
19775,26/03/2020,1476,6,21706.31,3617.718333
19852,29/12/2019,1564,2,15352,7676
19857,17/02/2020,1514,4,21981.34,5495.335
19859,27/04/2019,1810,1,4520,4520
19860,23/12/2020,1204,4,24899.12,6224.78
19882,15/01/2024,86,8,60341.99,7542.74875
19905,09/05/2019,1798,1,5000,5000
19936,06/01/2023,460,17,76402,4494.235294
19938,18/02/2020,1513,1,8890,8890
19958,15/01/2019,1912,1,5000,5000
19962,10/08/2020,1339,2,10000,5000
19992,20/04/2019,1817,1,9300,9300
19999,14/11/2019,1609,2,20000,10000
20011,20/11/2019,1603,1,8800,8800
20054,01/12/2023,131,20,81866.17,4093.3085
20055,02/05/2022,709,1,8309,8309
20172,18/05/2021,1058,5,18750,3750
20219,13/08/2019,1702,2,18900,9450
20299,11/03/2019,1857,1,6000,6000
20347,04/11/2020,1253,2,8000,4000
20410,11/06/2021,1034,1,10000,10000
20503,17/03/2019,1851,2,10330,5165
20504,07/01/2021,1189,9,44975,4997.222222
20531,01/01/2020,1561,3,10780,3593.333333
20573,06/09/2019,1678,3,17950,5983.333333
20587,12/11/2019,1611,2,12000,6000
20606,13/06/2019,1763,2,10000,5000
20683,08/10/2023,185,9,41185.5,4576.166667
20751,05/08/2019,1710,4,21500,5375
20786,28/06/2019,1748,1,4000,4000
20828,24/07/2019,1722,2,20000,10000
20860,11/11/2020,1246,4,25819,6454.75
20897,24/12/2022,473,10,53597.8,5359.78
20905,15/07/2020,1365,2,8960.23,4480.115
20946,18/04/2020,1453,5,20000,4000
20972,21/03/2022,751,1,9998,9998
20974,22/07/2021,993,1,8369,8369
21039,15/02/2019,1881,1,6000,6000
21068,05/10/2021,918,7,61600,8800
21110,22/03/2022,750,1,9998,9998
21164,14/12/2020,1213,2,17566.5,8783.25
21209,24/09/2023,199,2,14000,7000
21210,16/07/2019,1730,2,8000,4000
21223,23/11/2020,1234,3,11673,3891
21224,29/07/2020,1351,5,21758,4351.6
21247,03/05/2020,1438,1,5000,5000
21280,12/12/2019,1581,1,4100,4100
21282,15/03/2021,1122,2,10000,5000
21306,04/11/2022,523,5,24914.48,4982.896
21334,19/03/2022,753,6,40199.28,6699.88
21345,19/07/2021,996,4,22000,5500
21429,21/07/2020,1359,2,9998,4999
21433,26/09/2019,1658,2,12000,6000
21438,13/11/2020,1244,3,17653.5,5884.5
21474,13/02/2020,1518,1,8900,8900
21476,19/10/2020,1269,4,16500,4125
21541,03/09/2020,1315,5,20252,4050.4
21580,17/09/2020,1301,2,10128.12,5064.06
21585,25/05/2020,1416,1,8300,8300
21620,22/09/2020,1296,3,17000,5666.666667
21763,03/07/2023,282,7,27569.99,3938.57
21764,10/01/2019,1917,1,5000,5000
21808,04/06/2019,1772,1,10000,10000
